,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id,platform
143,5002844330,46372266,2020-10-02 09:03:06.198411,,0 days 01:08:51.000000000,2020-10-02 10:11:57.198411,,4131,143,0
2013,46401214,46375508,2020-10-02 09:03:13.198411,,0 days 00:17:47.000000000,2020-10-02 09:21:00.198411,,1067,2013,0
3151,3294946428,351436650,2020-10-02 09:03:18.198411,,0 days 00:35:59.000000000,2020-10-02 09:39:17.198411,,2159,3151,0
1731,46274895,46380093,2020-10-02 09:03:25.198411,,0 days 01:23:51.000000000,2020-10-02 10:27:16.198411,,5031,1731,0
3016,46346060,3296689776,2020-10-02 09:03:26.198411,,0 days 00:15:59.000000000,2020-10-02 09:19:25.198411,,959,3016,0
1839,6071565342,287774408,2020-10-02 09:03:29.198411,,0 days 00:51:53.000000000,2020-10-02 09:55:22.198411,,3113,1839,0
1261,46520780,46396254,2020-10-02 09:03:29.198411,,0 days 02:41:06.000000000,2020-10-02 11:44:35.198411,,9666,1261,0
50,46379013,46398434,2020-10-02 09:03:33.198411,,0 days 01:07:26.000000000,2020-10-02 10:10:59.198411,,4046,50,0
1174,2306308286,46323048,2020-10-02 09:03:35.198411,,0 days 00:53:59.000000000,2020-10-02 09:57:34.198411,,3239,1174,0
904,46494261,1825801466,2020-10-02 09:03:36.198411,,0 days 01:27:17.000000000,2020-10-02 10:30:53.198411,,5237,904,0
1785,6949114049,2311111652,2020-10-02 09:03:36.198411,,0 days 00:27:21.000000000,2020-10-02 09:30:57.198411,,1641,1785,0
869,46270000,46392048,2020-10-02 09:03:44.198411,,0 days 01:03:45.000000000,2020-10-02 10:07:29.198411,,3825,869,0
1357,46420326,46409586,2020-10-02 09:03:49.198411,,0 days 00:07:27.000000000,2020-10-02 09:11:16.198411,,447,1357,0
517,2054127618,46398148,2020-10-02 09:03:51.198411,,0 days 01:24:32.000000000,2020-10-02 10:28:23.198411,,5072,517,0
1356,154528006,3177724800,2020-10-02 09:04:07.198411,,0 days 00:27:28.000000000,2020-10-02 09:31:35.198411,,1648,1356,0
2404,46295562,1069320430,2020-10-02 09:04:12.198411,,0 days 00:37:37.000000000,2020-10-02 09:41:49.198411,,2257,2404,0
1695,46363752,46449091,2020-10-02 09:04:12.198411,,0 days 01:01:43.000000000,2020-10-02 10:05:55.198411,,3703,1695,0
175,5904163812,6316199,2020-10-02 09:04:13.198411,,0 days 00:53:53.000000000,2020-10-02 09:58:06.198411,,3233,175,0
2421,46288281,4530420539,2020-10-02 09:04:27.198411,,0 days 00:20:22.000000000,2020-10-02 09:24:49.198411,,1222,2421,0
1325,46478642,46390250,2020-10-02 09:04:30.198411,,0 days 01:57:02.000000000,2020-10-02 11:01:32.198411,,7022,1325,0
3124,1827992634,46290735,2020-10-02 09:04:36.198411,,0 days 01:26:35.000000000,2020-10-02 10:31:11.198411,,5195,3124,0
2345,46323943,2134273875,2020-10-02 09:04:36.198411,,0 days 00:31:57.000000000,2020-10-02 09:36:33.198411,,1917,2345,0
490,46417604,46385131,2020-10-02 09:04:41.198411,,0 days 00:36:52.000000000,2020-10-02 09:41:33.198411,,2212,490,0
246,46291583,2311111652,2020-10-02 09:04:41.198411,,0 days 01:17:13.000000000,2020-10-02 10:21:54.198411,,4633,246,0
1524,46312806,46395625,2020-10-02 09:04:48.198411,,0 days 00:57:21.000000000,2020-10-02 10:02:09.198411,,3441,1524,0
2310,46423029,248665510,2020-10-02 09:04:50.198411,,0 days 00:41:19.000000000,2020-10-02 09:46:09.198411,,2479,2310,0
2694,1614157902,46372409,2020-10-02 09:04:54.198411,,0 days 01:41:45.000000000,2020-10-02 10:46:39.198411,,6105,2694,0
1670,1069290032,3185290420,2020-10-02 09:04:56.198411,,0 days 00:16:45.000000000,2020-10-02 09:21:41.198411,,1005,1670,0
48,46294217,46380093,2020-10-02 09:04:56.198411,,0 days 00:55:20.000000000,2020-10-02 10:00:16.198411,,3320,48,0
2620,46354504,46431801,2020-10-02 09:04:59.198411,,0 days 01:11:27.000000000,2020-10-02 10:16:26.198411,,4287,2620,0
3064,46299442,4447532269,2020-10-02 09:05:04.198411,,0 days 00:54:54.000000000,2020-10-02 09:59:58.198411,,3294,3064,0
3105,2774989829,46393716,2020-10-02 09:05:17.198411,,0 days 00:37:32.000000000,2020-10-02 09:42:49.198411,,2252,3105,0
1211,46394113,46416719,2020-10-02 09:05:25.198411,,0 days 01:05:28.000000000,2020-10-02 10:10:53.198411,,3928,1211,0
135,969196810,2308176051,2020-10-02 09:05:26.198411,,0 days 00:16:53.000000000,2020-10-02 09:22:19.198411,,1013,135,0
1531,46420326,46376866,2020-10-02 09:05:30.198411,,0 days 00:23:47.000000000,2020-10-02 09:29:17.198411,,1427,1531,0
594,46345925,46368135,2020-10-02 09:05:32.198411,,0 days 02:24:01.000000000,2020-10-02 11:29:33.198411,,8641,594,0
2770,46298725,4571078870,2020-10-02 09:05:33.198411,,0 days 01:23:10.000000000,2020-10-02 10:28:43.198411,,4990,2770,0
1938,46363900,2020614365,2020-10-02 09:05:34.198411,,0 days 00:44:47.000000000,2020-10-02 09:50:21.198411,,2687,1938,0
562,1976785546,46371430,2020-10-02 09:05:35.198411,,0 days 00:57:53.000000000,2020-10-02 10:03:28.198411,,3473,562,0
240,46178635,287776239,2020-10-02 09:05:40.198411,,0 days 01:19:32.000000000,2020-10-02 10:25:12.198411,,4772,240,0
1523,46373244,28265319,2020-10-02 09:05:53.198411,,0 days 01:28:57.000000000,2020-10-02 10:34:50.198411,,5337,1523,0
2,2613369564,7042617201,2020-10-02 09:06:12.198411,,0 days 00:49:59.000000000,2020-10-02 09:56:11.198411,,2999,2,0
94,46251552,717833727,2020-10-02 09:06:18.198411,,0 days 01:45:36.000000000,2020-10-02 10:51:54.198411,,6336,94,0
1702,1221182557,7027339022,2020-10-02 09:06:18.198411,,0 days 01:07:37.000000000,2020-10-02 10:13:55.198411,,4057,1702,0
2864,46432911,46424347,2020-10-02 09:06:28.198411,,0 days 00:18:44.000000000,2020-10-02 09:25:12.198411,,1124,2864,0
2466,6933063433,46280366,2020-10-02 09:06:33.198411,,0 days 00:33:12.000000000,2020-10-02 09:39:45.198411,,1992,2466,0
1223,1447440254,5830440708,2020-10-02 09:06:35.198411,,0 days 01:59:24.000000000,2020-10-02 11:05:59.198411,,7164,1223,0
2973,46281918,2306196650,2020-10-02 09:06:39.198411,,0 days 01:29:09.000000000,2020-10-02 10:35:48.198411,,5349,2973,0
2962,4417894524,46409584,2020-10-02 09:06:44.198411,,0 days 01:44:31.000000000,2020-10-02 10:51:15.198411,,6271,2962,0
452,1801588899,46381685,2020-10-02 09:06:45.198411,,0 days 00:48:40.000000000,2020-10-02 09:55:25.198411,,2920,452,0
2856,46502038,2020569073,2020-10-02 09:06:48.198411,,0 days 02:04:42.000000000,2020-10-02 11:11:30.198411,,7482,2856,0
817,46297700,46389719,2020-10-02 09:06:55.198411,,0 days 01:26:13.000000000,2020-10-02 10:33:08.198411,,5173,817,0
1307,46346392,5828012924,2020-10-02 09:06:56.198411,,0 days 01:42:58.000000000,2020-10-02 10:49:54.198411,,6178,1307,0
763,46393888,46284447,2020-10-02 09:06:57.198411,,0 days 01:36:08.000000000,2020-10-02 10:43:05.198411,,5768,763,0
1075,2333230627,46403876,2020-10-02 09:07:04.198411,,0 days 01:29:27.000000000,2020-10-02 10:36:31.198411,,5367,1075,0
2860,3179260447,1624052875,2020-10-02 09:07:18.198411,,0 days 01:25:06.000000000,2020-10-02 10:32:24.198411,,5106,2860,0
1108,46188068,46369502,2020-10-02 09:07:20.198411,,0 days 01:36:13.000000000,2020-10-02 10:43:33.198411,,5773,1108,0
965,4727633297,299709594,2020-10-02 09:07:20.198411,,0 days 00:47:18.000000000,2020-10-02 09:54:38.198411,,2838,965,0
1730,46279993,46387274,2020-10-02 09:07:27.198411,,0 days 01:53:23.000000000,2020-10-02 11:00:50.198411,,6803,1730,0
551,46465479,287776238,2020-10-02 09:07:37.198411,,0 days 01:15:30.000000000,2020-10-02 10:23:07.198411,,4530,551,0
2750,46309963,46353880,2020-10-02 09:07:38.198411,,0 days 00:49:21.000000000,2020-10-02 09:56:59.198411,,2961,2750,0
221,46486597,175661689,2020-10-02 09:07:41.198411,,0 days 02:15:28.000000000,2020-10-02 11:23:09.198411,,8128,221,0
1262,5194341982,1978342141,2020-10-02 09:07:44.198411,,0 days 01:03:10.000000000,2020-10-02 10:10:54.198411,,3790,1262,0
2572,46384186,175661689,2020-10-02 09:07:44.198411,,0 days 00:41:39.000000000,2020-10-02 09:49:23.198411,,2499,2572,0
1381,46407225,3300514050,2020-10-02 09:07:44.198411,,0 days 00:50:43.000000000,2020-10-02 09:58:27.198411,,3043,1381,0
1199,46303214,6019977929,2020-10-02 09:07:46.198411,,0 days 01:52:00.000000000,2020-10-02 10:59:46.198411,,6720,1199,0
1380,46389719,7858563833,2020-10-02 09:07:46.198411,,0 days 00:28:01.000000000,2020-10-02 09:35:47.198411,,1681,1380,0
71,46448381,46426683,2020-10-02 09:07:46.198411,,0 days 00:21:11.000000000,2020-10-02 09:28:57.198411,,1271,71,0
2778,3301285116,46386984,2020-10-02 09:07:48.198411,,0 days 01:07:43.000000000,2020-10-02 10:15:31.198411,,4063,2778,0
2919,46360195,2993668859,2020-10-02 09:07:53.198411,,0 days 00:53:27.000000000,2020-10-02 10:01:20.198411,,3207,2919,0
2665,152788757,46285989,2020-10-02 09:07:54.198411,,0 days 00:35:02.000000000,2020-10-02 09:42:56.198411,,2102,2665,0
213,2296492684,46412243,2020-10-02 09:07:56.198411,,0 days 00:22:28.000000000,2020-10-02 09:30:24.198411,,1348,213,0
411,46370255,1587126027,2020-10-02 09:08:08.198411,,0 days 00:16:16.000000000,2020-10-02 09:24:24.198411,,976,411,0
1304,46254743,2047996079,2020-10-02 09:08:09.198411,,0 days 01:44:52.000000000,2020-10-02 10:53:01.198411,,6292,1304,0
1624,46451101,46360267,2020-10-02 09:08:12.198411,,0 days 01:08:19.000000000,2020-10-02 10:16:31.198411,,4099,1624,0
1315,46414072,5899675532,2020-10-02 09:08:25.198411,,0 days 00:36:50.000000000,2020-10-02 09:45:15.198411,,2210,1315,0
49,46428708,1587126037,2020-10-02 09:08:28.198411,,0 days 01:40:27.000000000,2020-10-02 10:48:55.198411,,6027,49,0
2785,46301662,46418256,2020-10-02 09:08:29.198411,,0 days 01:26:33.000000000,2020-10-02 10:35:02.198411,,5193,2785,0
2303,46295586,2772719495,2020-10-02 09:08:30.198411,,0 days 00:46:36.000000000,2020-10-02 09:55:06.198411,,2796,2303,0
250,46372472,46373281,2020-10-02 09:08:33.198411,,0 days 00:38:30.000000000,2020-10-02 09:47:03.198411,,2310,250,0
681,46215892,2020569196,2020-10-02 09:08:34.198411,,0 days 01:47:04.000000000,2020-10-02 10:55:38.198411,,6424,681,0
695,46216670,46421375,2020-10-02 09:08:44.198411,,0 days 02:10:03.000000000,2020-10-02 11:18:47.198411,,7803,695,0
1169,46225675,539179266,2020-10-02 09:08:44.198411,,0 days 01:46:46.000000000,2020-10-02 10:55:30.198411,,6406,1169,0
3135,46301596,1774668879,2020-10-02 09:08:51.198411,,0 days 02:21:44.000000000,2020-10-02 11:30:35.198411,,8504,3135,0
1641,2345374032,46395987,2020-10-02 09:09:05.198411,,0 days 00:42:55.000000000,2020-10-02 09:52:00.198411,,2575,1641,0
115,46479904,1587126037,2020-10-02 09:09:11.198411,,0 days 00:35:24.000000000,2020-10-02 09:44:35.198411,,2124,115,0
889,46428076,46363201,2020-10-02 09:09:12.198411,,0 days 00:48:37.000000000,2020-10-02 09:57:49.198411,,2917,889,0
542,46378943,2306442648,2020-10-02 09:09:14.198411,,0 days 00:26:33.000000000,2020-10-02 09:35:47.198411,,1593,542,0
2207,46259622,5420352485,2020-10-02 09:09:14.198411,,0 days 01:18:20.000000000,2020-10-02 10:27:34.198411,,4700,2207,0
17,5213036082,46379218,2020-10-02 09:09:14.198411,,0 days 02:16:13.000000000,2020-10-02 11:25:27.198411,,8173,17,0
3161,5137395428,46398690,2020-10-02 09:09:19.198411,,0 days 02:11:20.000000000,2020-10-02 11:20:39.198411,,7880,3161,0
2047,282780475,46457642,2020-10-02 09:09:19.198411,,0 days 01:16:22.000000000,2020-10-02 10:25:41.198411,,4582,2047,0
356,46369301,3177152066,2020-10-02 09:09:22.198411,,0 days 01:29:18.000000000,2020-10-02 10:38:40.198411,,5358,356,0
2379,46342623,1367613868,2020-10-02 09:09:24.198411,,0 days 00:40:44.000000000,2020-10-02 09:50:08.198411,,2444,2379,0
2425,46391977,46365411,2020-10-02 09:09:29.198411,,0 days 00:38:35.000000000,2020-10-02 09:48:04.198411,,2315,2425,0
1393,46270548,46382948,2020-10-02 09:09:34.198411,,0 days 01:50:02.000000000,2020-10-02 10:59:36.198411,,6602,1393,0
133,46315984,46280326,2020-10-02 09:09:39.198411,,0 days 01:11:51.000000000,2020-10-02 10:21:30.198411,,4311,133,0
2553,46356679,3781170559,2020-10-02 09:09:48.198411,,0 days 01:00:22.000000000,2020-10-02 10:10:10.198411,,3622,2553,0
1926,46463153,3185460795,2020-10-02 09:09:49.198411,,0 days 00:46:55.000000000,2020-10-02 09:56:44.198411,,2815,1926,0
62,46432910,46388842,2020-10-02 09:09:51.198411,,0 days 00:38:32.000000000,2020-10-02 09:48:23.198411,,2312,62,0
1139,46359001,46283238,2020-10-02 09:10:08.198411,,0 days 00:57:47.000000000,2020-10-02 10:07:55.198411,,3467,1139,0
291,5216414715,46427678,2020-10-02 09:10:09.198411,,0 days 02:13:14.000000000,2020-10-02 11:23:23.198411,,7994,291,0
1195,46360267,3780287880,2020-10-02 09:10:19.198411,,0 days 00:38:36.000000000,2020-10-02 09:48:55.198411,,2316,1195,0
1222,2308176051,46398632,2020-10-02 09:10:26.198411,,0 days 00:15:06.000000000,2020-10-02 09:25:32.198411,,906,1222,0
2116,6296436095,46397577,2020-10-02 09:10:28.198411,,0 days 01:33:52.000000000,2020-10-02 10:44:20.198411,,5632,2116,0
413,46502300,46393388,2020-10-02 09:10:32.198411,,0 days 01:55:03.000000000,2020-10-02 11:05:35.198411,,6903,413,0
1580,46378533,3185460795,2020-10-02 09:10:33.198411,,0 days 00:58:08.000000000,2020-10-02 10:08:41.198411,,3488,1580,0
1909,46420255,46401975,2020-10-02 09:10:38.198411,,0 days 00:25:17.000000000,2020-10-02 09:35:55.198411,,1517,1909,0
1177,410449460,46406617,2020-10-02 09:10:39.198411,,0 days 00:08:34.000000000,2020-10-02 09:19:13.198411,,514,1177,0
2808,46367805,46398148,2020-10-02 09:10:42.198411,,0 days 01:31:46.000000000,2020-10-02 10:42:28.198411,,5506,2808,0
241,2613220870,46409976,2020-10-02 09:10:44.198411,,0 days 01:00:01.000000000,2020-10-02 10:10:45.198411,,3601,241,0
1872,46344111,46451712,2020-10-02 09:10:58.198411,,0 days 01:04:31.000000000,2020-10-02 10:15:29.198411,,3871,1872,0
2359,46402592,1587126023,2020-10-02 09:11:03.198411,,0 days 00:16:11.000000000,2020-10-02 09:27:14.198411,,971,2359,0
1184,84470718,3301117463,2020-10-02 09:11:06.198411,,0 days 01:04:02.000000000,2020-10-02 10:15:08.198411,,3842,1184,0
121,7602812910,1333504602,2020-10-02 09:11:08.198411,,0 days 01:10:09.000000000,2020-10-02 10:21:17.198411,,4209,121,0
260,46440972,46356679,2020-10-02 09:11:11.198411,,0 days 01:31:46.000000000,2020-10-02 10:42:57.198411,,5506,260,0
2916,46443190,3301116965,2020-10-02 09:11:16.198411,,0 days 01:20:21.000000000,2020-10-02 10:31:37.198411,,4821,2916,0
1272,1941627980,46383464,2020-10-02 09:11:17.198411,,0 days 02:02:45.000000000,2020-10-02 11:14:02.198411,,7365,1272,0
406,46267252,5713213409,2020-10-02 09:11:18.198411,,0 days 02:32:46.000000000,2020-10-02 11:44:04.198411,,9166,406,0
2741,46271148,46376831,2020-10-02 09:11:20.198411,,0 days 01:09:25.000000000,2020-10-02 10:20:45.198411,,4165,2741,0
3128,46220735,46389675,2020-10-02 09:11:23.198411,,0 days 01:43:59.000000000,2020-10-02 10:55:22.198411,,6239,3128,0
2824,46401266,46380737,2020-10-02 09:11:24.198411,,0 days 00:33:10.000000000,2020-10-02 09:44:34.198411,,1990,2824,0
863,343261934,46344934,2020-10-02 09:11:25.198411,,0 days 00:51:08.000000000,2020-10-02 10:02:33.198411,,3068,863,0
2726,46306778,46362980,2020-10-02 09:11:27.198411,,0 days 01:13:30.000000000,2020-10-02 10:24:57.198411,,4410,2726,0
2273,46280466,3300515587,2020-10-02 09:11:38.198411,,0 days 01:07:56.000000000,2020-10-02 10:19:34.198411,,4076,2273,0
2649,46300253,46363315,2020-10-02 09:11:43.198411,,0 days 01:27:18.000000000,2020-10-02 10:39:01.198411,,5238,2649,0
3005,46414072,4625767490,2020-10-02 09:11:51.198411,,0 days 00:23:07.000000000,2020-10-02 09:34:58.198411,,1387,3005,0
434,7026677613,46358578,2020-10-02 09:11:51.198411,,0 days 01:37:03.000000000,2020-10-02 10:48:54.198411,,5823,434,0
1170,46386454,46360216,2020-10-02 09:11:55.198411,,0 days 00:16:57.000000000,2020-10-02 09:28:52.198411,,1017,1170,0
891,46345823,1069320425,2020-10-02 09:12:05.198411,,0 days 00:23:48.000000000,2020-10-02 09:35:53.198411,,1428,891,0
634,46439952,1428666895,2020-10-02 09:12:12.198411,,0 days 01:23:27.000000000,2020-10-02 10:35:39.198411,,5007,634,0
2074,46317740,46421343,2020-10-02 09:12:16.198411,,0 days 01:06:32.000000000,2020-10-02 10:18:48.198411,,3992,2074,0
443,2332802314,46413368,2020-10-02 09:12:17.198411,,0 days 01:17:59.000000000,2020-10-02 10:30:16.198411,,4679,443,0
1051,46397669,46350521,2020-10-02 09:12:32.198411,,0 days 01:36:20.000000000,2020-10-02 10:48:52.198411,,5780,1051,0
2995,974691771,46310173,2020-10-02 09:12:32.198411,,0 days 01:57:15.000000000,2020-10-02 11:09:47.198411,,7035,2995,0
849,46398148,2298641934,2020-10-02 09:12:36.198411,,0 days 00:04:59.000000000,2020-10-02 09:17:35.198411,,299,849,0
876,5115773383,461133583,2020-10-02 09:12:39.198411,,0 days 01:31:15.000000000,2020-10-02 10:43:54.198411,,5475,876,0
601,46502322,46438434,2020-10-02 09:12:43.198411,,0 days 02:06:45.000000000,2020-10-02 11:19:28.198411,,7605,601,0
1180,46330409,46434464,2020-10-02 09:12:47.198411,,0 days 02:21:46.000000000,2020-10-02 11:34:33.198411,,8506,1180,0
1699,700343183,46441800,2020-10-02 09:12:55.198411,,0 days 00:49:57.000000000,2020-10-02 10:02:52.198411,,2997,1699,0
1401,46499185,4924587492,2020-10-02 09:13:13.198411,,0 days 02:11:40.000000000,2020-10-02 11:24:53.198411,,7900,1401,0
1238,46184457,46343363,2020-10-02 09:13:14.198411,,0 days 01:29:25.000000000,2020-10-02 10:42:39.198411,,5365,1238,0
2129,46469192,46371281,2020-10-02 09:13:20.198411,,0 days 03:02:40.000000000,2020-10-02 12:16:00.198411,,10960,2129,0
2056,46293706,6299501719,2020-10-02 09:13:23.198411,,0 days 02:59:43.000000000,2020-10-02 12:13:06.198411,,10783,2056,0
230,46415905,2020569181,2020-10-02 09:13:25.198411,,0 days 00:21:34.000000000,2020-10-02 09:34:59.198411,,1294,230,0
1923,46360198,46359491,2020-10-02 09:13:27.198411,,0 days 00:57:50.000000000,2020-10-02 10:11:17.198411,,3470,1923,0
2315,46404331,2300133261,2020-10-02 09:13:30.198411,,0 days 00:25:38.000000000,2020-10-02 09:39:08.198411,,1538,2315,0
2781,46353511,3301285117,2020-10-02 09:13:30.198411,,0 days 01:22:09.000000000,2020-10-02 10:35:39.198411,,4929,2781,0
364,46400862,46398982,2020-10-02 09:13:34.198411,,0 days 01:37:10.000000000,2020-10-02 10:50:44.198411,,5830,364,0
1255,46330371,46434784,2020-10-02 09:13:34.198411,,0 days 01:07:51.000000000,2020-10-02 10:21:25.198411,,4071,1255,0
1898,3463080744,46405314,2020-10-02 09:13:36.198411,,0 days 00:17:41.000000000,2020-10-02 09:31:17.198411,,1061,1898,0
1007,722976569,46372608,2020-10-02 09:13:38.198411,,0 days 00:25:41.000000000,2020-10-02 09:39:19.198411,,1541,1007,0
2192,46390247,46406543,2020-10-02 09:13:39.198411,,0 days 00:21:44.000000000,2020-10-02 09:35:23.198411,,1304,2192,0
1363,46375508,2311090924,2020-10-02 09:13:41.198411,,0 days 00:17:51.000000000,2020-10-02 09:31:32.198411,,1071,1363,0
821,420259808,5139580897,2020-10-02 09:13:42.198411,,0 days 02:26:26.000000000,2020-10-02 11:40:08.198411,,8786,821,0
483,46248243,46354395,2020-10-02 09:13:53.198411,,0 days 01:10:26.000000000,2020-10-02 10:24:19.198411,,4226,483,0
2394,46444698,46293554,2020-10-02 09:13:55.198411,,0 days 02:22:53.000000000,2020-10-02 11:36:48.198411,,8573,2394,0
2792,46268130,1205690119,2020-10-02 09:13:57.198411,,0 days 01:19:04.000000000,2020-10-02 10:33:01.198411,,4744,2792,0
2934,46428748,1976785552,2020-10-02 09:13:59.198411,,0 days 01:16:09.000000000,2020-10-02 10:30:08.198411,,4569,2934,0
14,5139580897,5828012925,2020-10-02 09:14:02.198411,,0 days 00:34:15.000000000,2020-10-02 09:48:17.198411,,2055,14,0
153,46251809,46317651,2020-10-02 09:14:11.198411,,0 days 00:56:20.000000000,2020-10-02 10:10:31.198411,,3380,153,0
2401,46382455,46321108,2020-10-02 09:14:20.198411,,0 days 01:15:56.000000000,2020-10-02 10:30:16.198411,,4556,2401,0
1742,46271629,46399374,2020-10-02 09:14:21.198411,,0 days 01:19:25.000000000,2020-10-02 10:33:46.198411,,4765,1742,0
2536,46340883,46409183,2020-10-02 09:14:23.198411,,0 days 00:50:14.000000000,2020-10-02 10:04:37.198411,,3014,2536,0
2499,46450950,6960844764,2020-10-02 09:14:24.198411,,0 days 00:57:54.000000000,2020-10-02 10:12:18.198411,,3474,2499,0
2106,3295383121,46375398,2020-10-02 09:14:29.198411,,0 days 00:53:12.000000000,2020-10-02 10:07:41.198411,,3192,2106,0
883,46381815,4447532269,2020-10-02 09:14:30.198411,,0 days 01:11:01.000000000,2020-10-02 10:25:31.198411,,4261,883,0
2007,46512300,2020569073,2020-10-02 09:14:32.198411,,0 days 02:10:12.000000000,2020-10-02 11:24:44.198411,,7812,2007,0
140,46327560,46373402,2020-10-02 09:14:35.198411,,0 days 01:29:18.000000000,2020-10-02 10:43:53.198411,,5358,140,0
2073,46361479,46402405,2020-10-02 09:14:36.198411,,0 days 01:32:50.000000000,2020-10-02 10:47:26.198411,,5570,2073,0
301,4377757606,2020569012,2020-10-02 09:14:37.198411,,0 days 00:36:58.000000000,2020-10-02 09:51:35.198411,,2218,301,0
1788,46311730,27471866,2020-10-02 09:14:38.198411,,0 days 01:02:26.000000000,2020-10-02 10:17:04.198411,,3746,1788,0
1000,46333666,46333886,2020-10-02 09:14:47.198411,,0 days 00:55:35.000000000,2020-10-02 10:10:22.198411,,3335,1000,0
2091,46326224,1069320425,2020-10-02 09:15:08.198411,,0 days 00:51:01.000000000,2020-10-02 10:06:09.198411,,3061,2091,0
2158,452003283,46429524,2020-10-02 09:15:14.198411,,0 days 00:20:25.000000000,2020-10-02 09:35:39.198411,,1225,2158,0
967,1715224324,4625767491,2020-10-02 09:15:18.198411,,0 days 01:18:37.000000000,2020-10-02 10:33:55.198411,,4717,967,0
1103,5457163017,46363752,2020-10-02 09:15:23.198411,,0 days 01:20:58.000000000,2020-10-02 10:36:21.198411,,4858,1103,0
76,46290934,46426761,2020-10-02 09:15:28.198411,,0 days 01:11:48.000000000,2020-10-02 10:27:16.198411,,4308,76,0
2715,46280045,46327288,2020-10-02 09:15:29.198411,,0 days 00:45:22.000000000,2020-10-02 10:00:51.198411,,2722,2715,0
30,46362753,2300133219,2020-10-02 09:15:33.198411,,0 days 00:53:13.000000000,2020-10-02 10:08:46.198411,,3193,30,0
202,46347485,3185290420,2020-10-02 09:15:58.198411,,0 days 00:32:12.000000000,2020-10-02 09:48:10.198411,,1932,202,0
2012,475361688,46434866,2020-10-02 09:16:00.198411,,0 days 00:50:05.000000000,2020-10-02 10:06:05.198411,,3005,2012,0
3004,46423390,46431801,2020-10-02 09:16:10.198411,,0 days 01:50:01.000000000,2020-10-02 11:06:11.198411,,6601,3004,0
1664,46428124,46378914,2020-10-02 09:16:17.198411,,0 days 00:37:50.000000000,2020-10-02 09:54:07.198411,,2270,1664,0
2668,46372231,46368850,2020-10-02 09:16:18.198411,,0 days 01:35:15.000000000,2020-10-02 10:51:33.198411,,5715,2668,0
2291,46277492,46415032,2020-10-02 09:16:22.198411,,0 days 02:19:44.000000000,2020-10-02 11:36:06.198411,,8384,2291,0
2676,1332242073,1419265970,2020-10-02 09:16:31.198411,,0 days 00:08:51.000000000,2020-10-02 09:25:22.198411,,531,2676,0
152,2021881804,46321971,2020-10-02 09:16:32.198411,,0 days 00:21:52.000000000,2020-10-02 09:38:24.198411,,1312,152,0
