,index,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id,platform,VoT,delta,u,u_PT
21,3151,3294946428,351436650,93,,269,2020-10-02 09:39:17.198411,,2159,3151,0,0.0035,67.33862433862434,4.18,999999
22,1731,46274895,46380093,100,,628,2020-10-02 10:27:16.198411,,5031,1731,0,0.0035,156.6137566137566,9.7445,999999
23,3016,46346060,3296689776,101,,119,2020-10-02 09:19:25.198411,,959,3016,0,0.0035,30.03703703703704,1.855,999999
24,1261,46520780,46396254,104,,1208,2020-10-02 11:44:35.198411,,9666,1261,0,0.0035,300.5291005291007,18.727,999999
25,1839,6071565342,287774408,104,,389,2020-10-02 09:55:22.198411,,3113,1839,0,0.0035,96.79894179894181,6.031000000000001,999999
26,50,46379013,46398434,108,,505,2020-10-02 10:10:59.198411,,4046,50,0,0.0035,125.96296296296296,7.8365,999999
27,1174,2306308286,46323048,110,,404,2020-10-02 09:57:34.198411,,3239,1174,0,0.0035,100.91005291005291,6.2725,999999
28,904,46494261,1825801466,111,,654,2020-10-02 10:30:53.198411,,5237,904,0,0.0035,162.952380952381,10.1445,999999
29,1785,6949114049,2311111652,111,,205,2020-10-02 09:30:57.198411,,1641,1785,0,0.0035,51.042328042328045,3.1790000000000003,999999
30,869,46270000,46392048,119,,478,2020-10-02 10:07:29.198411,,3825,869,0,0.0035,118.93121693121694,7.4105,999999
31,1357,46420326,46409586,124,,55,2020-10-02 09:11:16.198411,,447,1357,0,0.0035,14.121693121693125,0.863,999999
32,517,2054127618,46398148,126,,634,2020-10-02 10:28:23.198411,,5072,517,0,0.0035,157.66137566137562,9.827,999999
33,1356,154528006,3177724800,142,,206,2020-10-02 09:31:35.198411,,1648,1356,0,0.0035,51.22751322751324,3.193,999999
34,1695,46363752,46449091,147,,462,2020-10-02 10:05:55.198411,,3703,1695,0,0.0035,115.33333333333331,7.1715,999999
35,2404,46295562,1069320430,147,,282,2020-10-02 09:41:49.198411,,2257,2404,0,0.0035,70.19047619047619,4.3725,999999
36,175,5904163812,6316199,148,,404,2020-10-02 09:58:06.198411,,3233,175,0,0.0035,100.52910052910053,6.2635,999999
37,2421,46288281,4530420539,162,,152,2020-10-02 09:24:49.198411,,1222,2421,0,0.0035,38.1798941798942,2.365,999999
38,1325,46478642,46390250,165,,877,2020-10-02 11:01:32.198411,,7022,1325,0,0.0035,218.47089947089947,13.6025,999999
39,2345,46323943,2134273875,171,,239,2020-10-02 09:36:33.198411,,1917,2345,0,0.0035,59.751322751322775,3.712,999999
40,3124,1827992634,46290735,171,,649,2020-10-02 10:31:11.198411,,5195,3124,0,0.0035,161.58201058201058,10.064,999999
41,246,46291583,2311111652,176,,579,2020-10-02 10:21:54.198411,,4633,246,0,0.0035,144.0476190476191,8.975999999999999,999999
42,490,46417604,46385131,176,,276,2020-10-02 09:41:33.198411,,2212,490,0,0.0035,68.88888888888891,4.284,999999
43,1524,46312806,46395625,183,,430,2020-10-02 10:02:09.198411,,3441,1524,0,0.0035,106.99470899470901,6.6665,999999
44,2310,46423029,248665510,185,,309,2020-10-02 09:46:09.198411,,2479,2310,0,0.0035,77.28571428571429,4.800000000000001,999999
45,2694,1614157902,46372409,189,,763,2020-10-02 10:46:39.198411,,6105,2694,0,0.0035,189.8042328042328,11.828000000000001,999999
46,48,46294217,46380093,191,,415,2020-10-02 10:00:16.198411,,3320,48,0,0.0035,103.2010582010582,6.432500000000001,999999
47,1670,1069290032,3185290420,191,,125,2020-10-02 09:21:41.198411,,1005,1670,0,0.0035,31.402116402116405,1.945,999999
48,2620,46354504,46431801,194,,535,2020-10-02 10:16:26.198411,,4287,2620,0,0.0035,133.48677248677254,8.303,999999
49,3064,46299442,4447532269,199,,411,2020-10-02 09:59:58.198411,,3294,3064,0,0.0035,102.58730158730162,6.3795,999999
50,3105,2774989829,46393716,212,,281,2020-10-02 09:42:49.198411,,2252,3105,0,0.0035,70.13227513227515,4.3615,999999
51,1211,46394113,46416719,220,,491,2020-10-02 10:10:53.198411,,3928,1211,0,0.0035,122.1005291005291,7.6105,999999
52,135,969196810,2308176051,221,,126,2020-10-02 09:22:19.198411,,1013,135,0,0.0035,31.65079365079366,1.9605000000000001,999999
53,1531,46420326,46376866,225,,178,2020-10-02 09:29:17.198411,,1427,1531,0,0.0035,44.45502645502647,2.7634999999999996,999999
54,594,46345925,46368135,227,,1080,2020-10-02 11:29:33.198411,,8641,594,0,0.0035,268.63492063492066,16.7415,999999
55,2770,46298725,4571078870,228,,623,2020-10-02 10:28:43.198411,,4990,2770,0,0.0035,155.30687830687833,9.6655,999999
56,1938,46363900,2020614365,229,,335,2020-10-02 09:50:21.198411,,2687,1938,0,0.0035,83.75132275132277,5.203,999999
57,562,1976785546,46371430,230,,434,2020-10-02 10:03:28.198411,,3473,562,0,0.0035,107.98941798941797,6.7285,999999
58,240,46178635,287776239,235,,596,2020-10-02 10:25:12.198411,,4772,240,0,0.0035,148.4656084656085,9.244,999999
59,1523,46373244,28265319,248,,667,2020-10-02 10:34:50.198411,,5337,1523,0,0.0035,165.93121693121694,10.34,999999
60,2,2613369564,7042617201,267,,374,2020-10-02 09:56:11.198411,,2999,2,0,0.0035,93.44973544973546,5.8075,999999
61,94,46251552,717833727,273,,792,2020-10-02 10:51:54.198411,,6336,94,0,0.0035,196.95238095238096,12.276,999999
62,1702,1221182557,7027339022,273,,507,2020-10-02 10:13:55.198411,,4057,1702,0,0.0035,126.14285714285717,7.859999999999999,999999
63,2864,46432911,46424347,283,,140,2020-10-02 09:25:12.198411,,1124,2864,0,0.0035,35.06878306878308,2.176,999999
64,2466,6933063433,46280366,288,,249,2020-10-02 09:39:45.198411,,1992,2466,0,0.0035,61.92063492063494,3.8595,999999
65,1223,1447440254,5830440708,290,,895,2020-10-02 11:05:59.198411,,7164,1223,0,0.0035,222.82010582010588,13.8785,999999
66,2973,46281918,2306196650,294,,668,2020-10-02 10:35:48.198411,,5349,2973,0,0.0035,166.43386243386243,10.3615,999999
67,2962,4417894524,46409584,299,,783,2020-10-02 10:51:15.198411,,6271,2962,0,0.0035,195.15873015873015,12.146999999999998,999999
68,452,1801588899,46381685,300,,365,2020-10-02 09:55:25.198411,,2920,452,0,0.0035,90.76719576719577,5.6575,999999
69,2856,46502038,2020569073,303,,935,2020-10-02 11:11:30.198411,,7482,2856,0,0.0035,232.64021164021165,14.4955,999999
70,817,46297700,46389719,310,,646,2020-10-02 10:33:08.198411,,5173,817,0,0.0035,160.96296296296302,10.0205,999999
71,1307,46346392,5828012924,311,,772,2020-10-02 10:49:54.198411,,6178,1307,0,0.0035,192.10582010582013,11.969,999999
72,763,46393888,46284447,312,,721,2020-10-02 10:43:05.198411,,5768,763,0,0.0035,179.29629629629633,11.1755,999999
73,1075,2333230627,46403876,319,,670,2020-10-02 10:36:31.198411,,5367,1075,0,0.0035,167.05820105820104,10.3955,999999
74,2860,3179260447,1624052875,333,,638,2020-10-02 10:32:24.198411,,5106,2860,0,0.0035,158.7830687830688,9.892,999999
75,965,4727633297,299709594,335,,354,2020-10-02 09:54:38.198411,,2838,965,0,0.0035,88.41269841269842,5.4959999999999996,999999
76,1108,46188068,46369502,335,,721,2020-10-02 10:43:33.198411,,5773,1108,0,0.0035,179.61375661375664,11.183,999999
77,1730,46279993,46387274,342,,850,2020-10-02 11:00:50.198411,,6803,1730,0,0.0035,211.56613756613754,13.179499999999999,999999
78,551,46465479,287776238,352,,566,2020-10-02 10:23:07.198411,,4530,551,0,0.0035,140.8783068783069,8.776,999999
79,2750,46309963,46353880,353,,370,2020-10-02 09:56:59.198411,,2961,2750,0,0.0035,92.07407407407409,5.7364999999999995,999999
80,221,46486597,175661689,356,,1016,2020-10-02 11:23:09.198411,,8128,221,0,0.0035,252.65608465608472,15.748000000000001,999999
81,1262,5194341982,1978342141,359,,473,2020-10-02 10:10:54.198411,,3790,1262,0,0.0035,118.00529100529104,7.3405,999999
82,1381,46407225,3300514050,359,,380,2020-10-02 09:58:27.198411,,3043,1381,0,0.0035,94.68783068783068,5.8945,999999
83,2572,46384186,175661689,359,,312,2020-10-02 09:49:23.198411,,2499,2572,0,0.0035,77.77777777777779,4.8405000000000005,999999
84,71,46448381,46426683,361,,158,2020-10-02 09:28:57.198411,,1271,71,0,0.0035,39.73544973544974,2.4595000000000002,999999
85,1199,46303214,6019977929,361,,840,2020-10-02 10:59:46.198411,,6720,1199,0,0.0035,208.88888888888889,13.02,999999
86,1380,46389719,7858563833,361,,210,2020-10-02 09:35:47.198411,,1681,1380,0,0.0035,52.2857142857143,3.2565,999999
87,2778,3301285116,46386984,363,,507,2020-10-02 10:15:31.198411,,4063,2778,0,0.0035,126.52380952380952,7.869,999999
88,2919,46360195,2993668859,368,,400,2020-10-02 10:01:20.198411,,3207,2919,0,0.0035,99.91534391534393,6.210500000000001,999999
89,2665,152788757,46285989,369,,262,2020-10-02 09:42:56.198411,,2102,2665,0,0.0035,65.53439153439156,4.07,999999
90,213,2296492684,46412243,371,,168,2020-10-02 09:30:24.198411,,1348,213,0,0.0035,42.03174603174603,2.61,999999
91,411,46370255,1587126027,383,,122,2020-10-02 09:24:24.198411,,976,411,0,0.0035,30.33862433862435,1.891,999999
92,1304,46254743,2047996079,384,,786,2020-10-02 10:53:01.198411,,6292,1304,0,0.0035,195.71428571428575,12.189,999999
93,1624,46451101,46360267,387,,512,2020-10-02 10:16:31.198411,,4099,1624,0,0.0035,127.51322751322755,7.9405,999999
94,1315,46414072,5899675532,400,,276,2020-10-02 09:45:15.198411,,2210,1315,0,0.0035,68.76190476190479,4.281,999999
95,49,46428708,1587126037,403,,753,2020-10-02 10:48:55.198411,,6027,49,0,0.0035,187.44444444444449,11.676,999999
96,2785,46301662,46418256,404,,649,2020-10-02 10:35:02.198411,,5193,2785,0,0.0035,161.45502645502648,10.061,999999
97,2303,46295586,2772719495,405,,349,2020-10-02 09:55:06.198411,,2796,2303,0,0.0035,87.04232804232805,5.4155,999999
98,250,46372472,46373281,408,,288,2020-10-02 09:47:03.198411,,2310,250,0,0.0035,72.0,4.473,999999
99,681,46215892,2020569196,409,,803,2020-10-02 10:55:38.198411,,6424,681,0,0.0035,199.68783068783068,12.4465,999999
100,695,46216670,46421375,419,,975,2020-10-02 11:18:47.198411,,7803,695,0,0.0035,242.65079365079367,15.116999999999999,999999
101,1169,46225675,539179266,419,,800,2020-10-02 10:55:30.198411,,6406,1169,0,0.0035,199.32275132275134,12.409,999999
102,3135,46301596,1774668879,426,,1063,2020-10-02 11:30:35.198411,,8504,3135,0,0.0035,264.34391534391534,16.4765,999999
103,1641,2345374032,46395987,440,,321,2020-10-02 09:52:00.198411,,2575,1641,0,0.0035,80.26984126984127,4.986,999999
104,115,46479904,1587126037,446,,265,2020-10-02 09:44:35.198411,,2124,115,0,0.0035,66.15343915343918,4.1135,999999
105,889,46428076,46363201,447,,364,2020-10-02 09:57:49.198411,,2917,889,0,0.0035,90.83597883597884,5.6495,999999
106,17,5213036082,46379218,449,,1021,2020-10-02 11:25:27.198411,,8173,17,0,0.0035,254.2169312169313,15.832999999999998,999999
107,542,46378943,2306442648,449,,199,2020-10-02 09:35:47.198411,,1593,542,0,0.0035,49.550264550264565,3.086,999999
108,2207,46259622,5420352485,449,,587,2020-10-02 10:27:34.198411,,4700,2207,0,0.0035,146.2275132275132,9.1045,999999
109,2047,282780475,46457642,454,,572,2020-10-02 10:25:41.198411,,4582,2047,0,0.0035,142.6243386243386,8.875,999999
110,3161,5137395428,46398690,454,,985,2020-10-02 11:20:39.198411,,7880,3161,0,0.0035,244.94708994708995,15.2675,999999
111,356,46369301,3177152066,457,,669,2020-10-02 10:38:40.198411,,5358,356,0,0.0035,166.74603174603178,10.3785,999999
112,2379,46342623,1367613868,459,,305,2020-10-02 09:50:08.198411,,2444,2379,0,0.0035,76.10052910052913,4.7335,999999
113,2425,46391977,46365411,464,,289,2020-10-02 09:48:04.198411,,2315,2425,0,0.0035,72.05820105820108,4.484,999999
114,1393,46270548,46382948,469,,825,2020-10-02 10:59:36.198411,,6602,1393,0,0.0035,205.28571428571433,12.790500000000002,999999
115,133,46315984,46280326,474,,538,2020-10-02 10:21:30.198411,,4311,133,0,0.0035,134.23280423280423,8.349499999999999,999999
116,2553,46356679,3781170559,483,,452,2020-10-02 10:10:10.198411,,3622,2553,0,0.0035,112.7830687830688,7.015,999999
117,1926,46463153,3185460795,484,,351,2020-10-02 09:56:44.198411,,2815,1926,0,0.0035,87.73015873015875,5.4510000000000005,999999
118,62,46432910,46388842,486,,289,2020-10-02 09:48:23.198411,,2312,62,0,0.0035,71.86772486772487,4.4795,999999
119,1139,46359001,46283238,503,,433,2020-10-02 10:07:55.198411,,3467,1139,0,0.0035,107.8677248677249,6.716,999999
120,291,5216414715,46427678,504,,999,2020-10-02 11:23:23.198411,,7994,291,0,0.0035,248.55555555555554,15.4875,999999
121,1195,46360267,3780287880,514,,289,2020-10-02 09:48:55.198411,,2316,1195,0,0.0035,72.12169312169313,4.4855,999999
122,1222,2308176051,46398632,521,,113,2020-10-02 09:25:32.198411,,906,1222,0,0.0035,28.22751322751323,1.7545,999999
123,2116,6296436095,46397577,523,,704,2020-10-02 10:44:20.198411,,5632,2116,0,0.0035,175.06878306878315,10.912,999999
124,413,46502300,46393388,527,,862,2020-10-02 11:05:35.198411,,6903,413,0,0.0035,214.80423280423275,13.3715,999999
125,1580,46378533,3185460795,528,,436,2020-10-02 10:08:41.198411,,3488,1580,0,0.0035,108.42328042328042,6.758,999999
126,1909,46420255,46401975,533,,189,2020-10-02 09:35:55.198411,,1517,1909,0,0.0035,47.31746031746032,2.9370000000000003,999999
127,1177,410449460,46406617,534,,64,2020-10-02 09:19:13.198411,,514,1177,0,0.0035,16.042328042328037,0.995,999999
128,2808,46367805,46398148,537,,688,2020-10-02 10:42:28.198411,,5506,2808,0,0.0035,171.21693121693121,10.667,999999
129,241,2613220870,46409976,539,,450,2020-10-02 10:10:45.198411,,3601,241,0,0.0035,111.968253968254,6.976500000000001,999999
130,1872,46344111,46451712,553,,483,2020-10-02 10:15:29.198411,,3871,1872,0,0.0035,120.55555555555559,7.497,999999
131,2359,46402592,1587126023,558,,121,2020-10-02 09:27:14.198411,,971,2359,0,0.0035,30.280423280423292,1.88,999999
132,1184,84470718,3301117463,561,,480,2020-10-02 10:15:08.198411,,3842,1184,0,0.0035,119.4920634920635,7.443,999999
133,121,7602812910,1333504602,563,,526,2020-10-02 10:21:17.198411,,4209,121,0,0.0035,130.86772486772492,8.1545,999999
134,260,46440972,46356679,566,,688,2020-10-02 10:42:57.198411,,5506,260,0,0.0035,171.21693121693121,10.667,999999
135,2916,46443190,3301116965,571,,602,2020-10-02 10:31:37.198411,,4821,2916,0,0.0035,150.02116402116403,9.3385,999999
136,1272,1941627980,46383464,572,,920,2020-10-02 11:14:02.198411,,7365,1272,0,0.0035,229.1005291005291,14.2675,999999
137,406,46267252,5713213409,573,,1145,2020-10-02 11:44:04.198411,,9166,406,0,0.0035,285.11640211640207,17.756500000000003,999999
138,2741,46271148,46376831,575,,520,2020-10-02 10:20:45.198411,,4165,2741,0,0.0035,129.62962962962968,8.067499999999999,999999
139,3128,46220735,46389675,578,,779,2020-10-02 10:55:22.198411,,6239,3128,0,0.0035,194.16402116402122,12.084999999999999,999999
140,2824,46401266,46380737,579,,248,2020-10-02 09:44:34.198411,,1990,2824,0,0.0035,62.052910052910065,3.8529999999999998,999999
141,863,343261934,46344934,580,,383,2020-10-02 10:02:33.198411,,3068,863,0,0.0035,95.4973544973545,5.942500000000001,999999
142,2726,46306778,46362980,582,,551,2020-10-02 10:24:57.198411,,4410,2726,0,0.0035,137.14814814814818,8.5435,999999
143,2273,46280466,3300515587,593,,509,2020-10-02 10:19:34.198411,,4076,2273,0,0.0035,126.83068783068785,7.8955,999999
144,2649,46300253,46363315,598,,654,2020-10-02 10:39:01.198411,,5238,2649,0,0.0035,163.0158730158731,10.146,999999
145,434,7026677613,46358578,606,,727,2020-10-02 10:48:54.198411,,5823,434,0,0.0035,181.23280423280426,11.279,999999
146,3005,46414072,4625767490,606,,173,2020-10-02 09:34:58.198411,,1387,3005,0,0.0035,43.211640211640216,2.686,999999
147,1170,46386454,46360216,610,,127,2020-10-02 09:28:52.198411,,1017,1170,0,0.0035,31.645502645502653,1.9700000000000002,999999
148,891,46345823,1069320425,620,,178,2020-10-02 09:35:53.198411,,1428,891,0,0.0035,44.51851851851853,2.7649999999999997,999999
149,634,46439952,1428666895,627,,625,2020-10-02 10:35:39.198411,,5007,634,0,0.0035,155.86772486772486,9.698,999999
150,2074,46317740,46421343,631,,499,2020-10-02 10:18:48.198411,,3992,2074,0,0.0035,124.08994708994712,7.734500000000001,999999
151,443,2332802314,46413368,632,,584,2020-10-02 10:30:16.198411,,4679,443,0,0.0035,145.6719576719577,9.0625,999999
152,1051,46397669,46350521,647,,722,2020-10-02 10:48:52.198411,,5780,1051,0,0.0035,179.79894179894183,11.197,999999
153,2995,974691771,46310173,647,,879,2020-10-02 11:09:47.198411,,7035,2995,0,0.0035,218.77777777777783,13.629000000000001,999999
154,849,46398148,2298641934,651,,37,2020-10-02 09:17:35.198411,,299,849,0,0.0035,9.391534391534394,0.5780000000000001,999999
155,876,5115773383,461133583,654,,684,2020-10-02 10:43:54.198411,,5475,876,0,0.0035,170.28571428571433,10.6065,999999
156,601,46502322,46438434,658,,950,2020-10-02 11:19:28.198411,,7605,601,0,0.0035,236.5608465608466,14.732500000000002,999999
157,1180,46330409,46434464,662,,1063,2020-10-02 11:34:33.198411,,8506,1180,0,0.0035,264.47089947089944,16.4795,999999
158,1699,700343183,46441800,670,,374,2020-10-02 10:02:52.198411,,2997,1699,0,0.0035,93.32275132275133,5.8045,999999
159,1401,46499185,4924587492,688,,987,2020-10-02 11:24:53.198411,,7900,1401,0,0.0035,245.69841269841274,15.304499999999999,999999
160,1238,46184457,46343363,689,,670,2020-10-02 10:42:39.198411,,5365,1238,0,0.0035,166.93121693121694,10.3925,999999
161,2129,46469192,46371281,695,,1370,2020-10-02 12:16:00.198411,,10960,2129,0,0.0035,340.6878306878307,21.235,999999
162,2056,46293706,6299501719,698,,1347,2020-10-02 12:13:06.198411,,10783,2056,0,0.0035,335.41269841269843,20.889,999999
163,230,46415905,2020569181,700,,161,2020-10-02 09:34:59.198411,,1294,230,0,0.0035,40.41798941798942,2.5045,999999
164,1923,46360198,46359491,702,,433,2020-10-02 10:11:17.198411,,3470,1923,0,0.0035,108.05820105820108,6.7205,999999
165,2315,46404331,2300133261,705,,192,2020-10-02 09:39:08.198411,,1538,2315,0,0.0035,47.87301587301589,2.979,999999
166,2781,46353511,3301285117,705,,616,2020-10-02 10:35:39.198411,,4929,2781,0,0.0035,153.2486772486773,9.5495,999999
167,364,46400862,46398982,709,,728,2020-10-02 10:50:44.198411,,5830,364,0,0.0035,181.41798941798947,11.293,999999
168,1255,46330371,46434784,709,,508,2020-10-02 10:21:25.198411,,4071,1255,0,0.0035,126.77248677248681,7.884499999999999,999999
169,1898,3463080744,46405314,711,,132,2020-10-02 09:31:17.198411,,1061,1898,0,0.0035,33.14285714285715,2.0535,999999
170,1007,722976569,46372608,713,,192,2020-10-02 09:39:19.198411,,1541,1007,0,0.0035,48.06349206349206,2.9835000000000003,999999
171,2192,46390247,46406543,714,,163,2020-10-02 09:35:23.198411,,1304,2192,0,0.0035,40.53439153439153,2.5265,999999
172,1363,46375508,2311090924,716,,133,2020-10-02 09:31:32.198411,,1071,1363,0,0.0035,33.518518518518526,2.072,999999
173,821,420259808,5139580897,717,,1098,2020-10-02 11:40:08.198411,,8786,821,0,0.0035,273.1746031746032,17.022,999999
174,483,46248243,46354395,728,,528,2020-10-02 10:24:19.198411,,4226,483,0,0.0035,131.42857142857144,8.187000000000001,999999
175,2394,46444698,46293554,730,,1071,2020-10-02 11:36:48.198411,,8573,2394,0,0.0035,266.6507936507938,16.608,999999
176,2792,46268130,1205690119,732,,593,2020-10-02 10:33:01.198411,,4744,2792,0,0.0035,147.4656084656085,9.1915,999999
177,2934,46428748,1976785552,734,,571,2020-10-02 10:30:08.198411,,4569,2934,0,0.0035,142.05820105820106,8.852,999999
178,14,5139580897,5828012925,737,,256,2020-10-02 09:48:17.198411,,2055,14,0,0.0035,64.10582010582013,3.9785,999999
179,153,46251809,46317651,746,,422,2020-10-02 10:10:31.198411,,3380,153,0,0.0035,105.19576719576719,6.547000000000001,999999
180,2401,46382455,46321108,755,,569,2020-10-02 10:30:16.198411,,4556,2401,0,0.0035,141.7513227513228,8.8255,999999
181,1742,46271629,46399374,756,,595,2020-10-02 10:33:46.198411,,4765,1742,0,0.0035,148.2804232804233,9.23,999999
182,2536,46340883,46409183,758,,376,2020-10-02 10:04:37.198411,,3014,2536,0,0.0035,93.8835978835979,5.837,999999
183,2499,46450950,6960844764,759,,434,2020-10-02 10:12:18.198411,,3474,2499,0,0.0035,108.05291005291005,6.73,999999
184,2106,3295383121,46375398,764,,399,2020-10-02 10:07:41.198411,,3192,2106,0,0.0035,99.22222222222223,6.1845,999999
185,883,46381815,4447532269,765,,532,2020-10-02 10:25:31.198411,,4261,883,0,0.0035,132.61375661375664,8.253499999999999,999999
186,2007,46512300,2020569073,767,,976,2020-10-02 11:24:44.198411,,7812,2007,0,0.0035,242.962962962963,15.134,999999
187,140,46327560,46373402,770,,669,2020-10-02 10:43:53.198411,,5358,140,0,0.0035,166.74603174603178,10.3785,999999
188,2073,46361479,46402405,771,,696,2020-10-02 10:47:26.198411,,5570,2073,0,0.0035,173.20634920634924,10.791,999999
189,301,4377757606,2020569012,772,,277,2020-10-02 09:51:35.198411,,2218,301,0,0.0035,69.01058201058201,4.2965,999999
190,1788,46311730,27471866,773,,468,2020-10-02 10:17:04.198411,,3746,1788,0,0.0035,116.50793650793652,7.257,999999
191,1000,46333666,46333886,782,,416,2020-10-02 10:10:22.198411,,3335,1000,0,0.0035,103.8941798941799,6.458500000000001,999999
192,2091,46326224,1069320425,803,,382,2020-10-02 10:06:09.198411,,3061,2091,0,0.0035,95.31216931216933,5.9285,999999
193,2158,452003283,46429524,809,,153,2020-10-02 09:35:39.198411,,1225,2158,0,0.0035,38.111111111111114,2.3729999999999998,999999
194,967,1715224324,4625767491,813,,589,2020-10-02 10:33:55.198411,,4717,967,0,0.0035,146.78835978835983,9.137,999999
195,1103,5457163017,46363752,818,,607,2020-10-02 10:36:21.198411,,4858,1103,0,0.0035,151.0740740740741,9.4115,999999
196,76,46290934,46426761,823,,538,2020-10-02 10:27:16.198411,,4308,76,0,0.0035,134.04232804232802,8.344999999999999,999999
197,2715,46280045,46327288,824,,340,2020-10-02 10:00:51.198411,,2722,2715,0,0.0035,84.67724867724867,5.273,999999
198,30,46362753,2300133219,828,,399,2020-10-02 10:08:46.198411,,3193,30,0,0.0035,99.28571428571428,6.186,999999
199,202,46347485,3185290420,853,,241,2020-10-02 09:48:10.198411,,1932,202,0,0.0035,60.1851851851852,3.7415000000000003,999999
200,2012,475361688,46434866,855,,375,2020-10-02 10:06:05.198411,,3005,2012,0,0.0035,93.57142857142857,5.82,999999
201,3004,46423390,46431801,865,,825,2020-10-02 11:06:11.198411,,6601,3004,0,0.0035,205.22222222222223,12.789000000000001,999999
202,1664,46428124,46378914,872,,283,2020-10-02 09:54:07.198411,,2270,1664,0,0.0035,70.75661375661377,4.3955,999999
203,2668,46372231,46368850,873,,714,2020-10-02 10:51:33.198411,,5715,2668,0,0.0035,177.74603174603175,11.0715,999999
204,2291,46277492,46415032,877,,1048,2020-10-02 11:36:06.198411,,8384,2291,0,0.0035,260.6137566137566,16.244,999999
205,2676,1332242073,1419265970,886,,66,2020-10-02 09:25:22.198411,,531,2676,0,0.0035,16.603174603174608,1.0275,999999
206,152,2021881804,46321971,887,,164,2020-10-02 09:38:24.198411,,1312,152,0,0.0035,40.78306878306879,2.542,999999
207,458,1655770267,46403261,887,,409,2020-10-02 10:11:11.198411,,3279,458,0,0.0035,102.15343915343915,6.35,999999
208,398,1042870353,46319977,891,,171,2020-10-02 09:39:24.198411,,1368,398,0,0.0035,42.52380952380952,2.6505,999999
209,1018,452003283,2297714226,901,,151,2020-10-02 09:36:57.198411,,1211,1018,0,0.0035,37.74074074074075,2.3449999999999998,999999
210,1299,46442085,3297465151,901,,430,2020-10-02 10:14:12.198411,,3446,1299,0,0.0035,107.31216931216935,6.6739999999999995,999999
211,1332,1976785434,46448148,904,,629,2020-10-02 10:40:41.198411,,5032,1332,0,0.0035,156.4179894179894,9.749500000000001,999999
212,2862,46479062,6653637020,909,,891,2020-10-02 11:15:43.198411,,7129,2862,0,0.0035,221.6349206349207,13.812000000000001,999999
213,2236,46398148,2482775450,914,,373,2020-10-02 10:06:44.198411,,2985,2236,0,0.0035,92.82010582010582,5.783,999999
214,2257,46358114,46426217,916,,432,2020-10-02 10:14:44.198411,,3463,2257,0,0.0035,107.87301587301589,6.7065,999999
